"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
124,Lido di Ischia X,Napoli,Ischia,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si poca,,,
125,Spiaggia Mandra Ischia,Napoli,Ischia,Campania,Mar Tirreno,Italy,Europe,Marina,2008,No,,,
126,Spiaggia Maronti Ischia,Napoli,Ischia,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si poca,,,
127,Villasimius ,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2008,Si poca,,,
128,Cala Murtas,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2008,No,,,
129,Cala Pira,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2008,Si poca,,,
130,Marotta,Pesaro Urbino,,Marche,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
131,Lago Bohinj (vicino Catez),,,,,Slovenia,Europe,Lacustre,2008,Si tanta,,,
132,Fiume Sava (vicino lago Bohinj),,,,,Slovenia,Europe,Fluviale,2008,Si tanta,,,
133,Fiume Sava Cartex,,,,,Slovenia,Europe,Fluviale,2008,Si poca,,,
134,Marina di Fasano(tra torre canne e pilone),Brindisi,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
135,Marina di Fasano ( vicino torre canne),Brindisi,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
136,Bagnoli X,Napoli,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si,,,
137,Pozzuoli (Litorale la Pietra) X,Napoli,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si,,,
138,Capo Scalambri,Ragusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2008,Si poca,,,
139,Agios Stefanos,,Isola Kos,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
140,Seagull's bay,,Isola Kos,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
141,Le terre colorate di Chamarel ,,Isole Mauritius,,Oceano Indiano,,Africa,Vulcanica,2008,No,,,
142,Groticelle,Vibo Valentia,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
143,Ko Lipe,Satun,Isola-arcipelago Adang-Rawi,,Mare delle Andamene,Thailandia,Asia,Marina,2005,No,,,
144,Yangoon,,,,Fiume Irrawady,Birmania,Asia,Fluviale,2005,No,,,
145,Fetovaia,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
146,Vulcano ,Messina,Isola di Vulcano/Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
147,Spiaggia Nera,Nonza,,Corsica,Mar Tirreno,France,Europe,Marina,2005,No,,,
148,Asdù,,Isole Maldive,,Oceano Indiano,India,Asia,Marina,2005,No,,,
149,Pizzo Calabro X,Vibio Valentia,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
150,Vieste Gargano,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
151,Costa Rei Muravera,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
152,Costa Rei Santa Giusta,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
153,Costa Rei,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,Si poca,,,
154,Su Pallosu S.Vero Milis,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
155,Porto Mandriola S.Vero Milis,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
156,Piteu idu S.Vero Milis,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
157,Pietra Grande,Catanzaro,,Calabria,Mar Ionio,Italy,Europe,Marina,2005,No,,,
158,Poetto,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
159,Praia a Mare,Cosenza,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
160,Arbatax,Ogliastra,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
161,Torre su Puttu Cuglieri,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
162,Alghero,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
163,S.Teresa di Gallura X,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
164,Dauphin Island,,,,Golfo del Messico,Alabama,USA,Marina,2009,No,,,
165,Spiaggia del Riso Villasimius,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
166,Argentiera,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
167,Golfo di Marinella Porto Rotondo,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
168,Golfo Aranci,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
169,Santa Caterina di Pittinuri,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
170,San Giovanni Sinis,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
171,Santa Maria del Cedro,Cosenza,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
172,Gioia Tauro X,Reggio Calabria,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
173,Lido di Catanzaro,Catanzaro,,Calabria,Mar Ionio,Italy,Europe,Marina,2005,No,,,
174,Playa deVaradero2,,,,Oceano Atlantico,Cuba,Central America,Marina,2009,No,,,
175,Locri X,Reggio Calabria,,Calabria,Mar Ionio,Italy,Europe,Marina,2005,No,,,
176,Torre Canne ,Brindisi,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,No,,,
177,San Pietro in Bevagna,Taranto,,Puglia,Mar Ionio,Italy,Europe,Marina,2005,No,,,
178,Il Capitolo Monopoli,Bari,,Puglia,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
179,S. Maria Capo Vaticano,Vibo Valentia,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
180,Eden Capo Vaticano,Vibo Valentia,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
181,Vasto,Chieti,,Abruzzo,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
182,Licata,Agrigento,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2005,No,,,
183,Selinunte,Agrigento,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2005,No,,,
184,San Vito lo Capo 1 X,Trapani,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
185,Vernazza Cinque Terre X,La Spezia,,Liguria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
186,Sanremo 1,Imperia,,Liguria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
187,Myrtos,,Isola di Cefalonia,,Mar Ionio,Grecia,Europe,Marina,2009,No,,,
188,Golfo Stella Lacona ,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
189,Porto Ferraio,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
190,Tropea,Vibo Valentia,,Calabria,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
191,Circeo,Latina,,Lazio,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
192,Sperlonga 1,Latina,,Lazio,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
193,Porto Recanati X,Macerata,,Marche,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
194,Numana,Ancona,,Marche,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
195,Lignano Sabbiadoro,Udine,,Friuli Venezia Giulia,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
196,Caorle,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
197,Bibione X,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2005,No,,,
198,Fontanelle Gallipoli X,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,Si poca,,,
199,Costa Smeralda,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
200,Los Americas ,Tenerife,Isole Canarie,,Mar Mediterraneo,Spain,Europe,Marina,2005,No,,,
201,Puritate  Gallipoli,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2009,Si poca,,,
202,San Juan  ,Tenerife,Isole Canarie,,Mar Mediterraneo,Spain,Europe,Marina,2009,No,,,
203,Isola de Sal 3,,Capo Verde,,Oceano Atlantico,Repubblica Capo verde,Africa,Marina,2009,No,,,
204,Vulcano (rosa - Zolfo),Messina,Isola di Vulcano/Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
