"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
769,Cala Sisine,Nuoro,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
770,Spiaggia Castelli,Olbia-Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
771,Spiaggia di Cala Spalmatore,Olbia Tempio,Isola della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
772,Cala Biriala,Nuoro,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
773,Oostende,,,,Mar del Nord,Belgio,Europe,Marina,2008,No,,,
774,Malga Venegiota,Trento,,Trentino Alto Adige,,Italy,Europe,Montana,2018,No,,,
775," Platanias Bay, Skiathos (Sciato)",,Sporadi,,Mar Egeo,Grecia,Europe,Marina ,2005,No,,,
776,Bracciano,Roma,Lazio,,Mar Tirreno,Italy,Europe,Lacustre,,Si,,,
777,Dublino,,,,Mare d'Irlanda,Irlanda,Europe,Marina,31-07-'19,Sì,,"53.353480, -6.164501",
778,Croagh Patrick,Westport,,County Mayo,Ghiaione,Irlanda,Europe,Montana,27-07-'19,No,,,
779,Waterville,,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,Sì,,,
780,Dog's Bay ,Ballyconneely,,Connemara,Oceano Atlantico,Irlanda,Europe,Marina,26-07-'19,Sì,Ricca di SPICOLE (la guida scrive di foraminiferi)!!,,
781,Sant'Antioco,Carbonia-Iglesias,,Sardegna,Mar di Sardegna,Italy,Europe,Marina,1994,No,,,
782,St. Finian's bay,,,Conty Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,Sì,,,
783,Rossbehy o Rossbeigh Beach,,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,Sì poca,,"52.055842, -9.977526",
784,"Derrynane, laguna interna",Caherdaniel,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,23-07-'19,Sì,,"51.759326, -10119992",
785,Rath Strand,Caherdaniel,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,23-07-'19,No,,"51.754717, -10.102546",
786,O' Carroll's Cove Beach Ring of Kerry,Brackaharagh Caherdaniel,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,23-07-'19,No,,"5.759080, -10.080326",
787,Maulin,Aughacasla,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,No,Sabbia del campeggio Caravan park,"52.246532, -9.982611",
788,Plage de Collignon,Cherbourg,,Normandia,La Manica,Francia,Europe,Marina,21-07-'19,Sì,,"49.657109, -1.569162",
789,Bunowen Bay,,,Connemara,Oceano Atlantico,Irlanda,Europe,Marina,26-07-'19,No,,,
790,Inch Beach,,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,Sì,,"52.141459, -9.989049",
791,Newtownabbey,Belfast,,,Mare d'Irlanda,Irlanda del Nord Gran Bretagna,Europe,Marina,29-07-'19,Sì,,,
792,Mannin Bay,,,Connemara,Oceano Atlantico,Irlanda,Europe,Marina,26-07-'19,No,Clasti molto particolari: ooliti??,"53.446405, -10.061306",
793,Derrynane Beach,Caherdaniel,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,23-07-'19,No,,,
794,Coumeenoole Beach,,,County Kerry,Oceano Atlantico,Irlanda,Europe,Marina,24-07-'19,Sì,E' il punto più ad Ovest dell'Europa. VENTO PAZZESCO!,"5.110708, -10.466135",
795,Connemara Caravan Camping Park,Gowlaun,,Connemara,Oceano Atlantico,Irlanda,Europe,Marina,26-07-'19,No,,"53.607070, -9.905698",
796,Fishguard,,,,Mare d'Irlanda,Galles           Gran Bretagna,Europe,Marina,05-08-'19,Sì,,"52.001442, -4.989996",
797,Rosslare,,,,Mare d'Irlanda,Irlanda,Europe,Marina,04-08-'19,Sì,,"52.245434, -6.324938",
798,Plage de Greve Blanche,,,,Oceano Atlantico,Francia,Europe,Marina,2005,No,,,
799,Spiaggia di San Giorgio Baia di Birzebbuga,,Malta,,Mar Mediterraneo,,Europe,Marina,2010,No,,,
800,Capo Promontore,Istria,,,Mar Adriatico,Croazia,Europe,Marina,2009,No,,,
801,L'Escala,Girona,,Catalogna,Mare delle Baleari,Spagna,Europe,Marina,2008,No,,,
802,Grado,Gorizia, ,Friuli Venezia Giulia,Mar Adriatico,Italy,Europe,Marina,2019,No,,"45.67491244, 13.38894367",
803,"Omaha beach, Plage du debarquement",,,Normandia,La Manica,Francia,Europe,Marina,2005,No,Sabbia quarzifera,,
804,Unye,,,,Mar Nero,Turchia,Europe,Marina,2010,No,,,
805,Igoumenitsa,,,,Mar Egeo,Grecia,Europe,Marina,2010,No,,,
806,Isola delle Correnti ,Siracusa,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2010,No,Vari bioclasti,,
807,Porto di Scauri,Trapani,Pantelleria,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2008,No,,,
808,Long beach,,Long Island,New York,Oceano Atlantico,USA,America del Nord,Marina,2009,No, Ricca di quarzo.,,
809,Mont Saint Michel,,,Normandia,La Manica,Francia,Europe,Marina,1998,No,Ricca di SPICOLE (la guida scrive di foraminiferi)!!,,
810,Isola di kos , ,,,Kefalos,Grecia,Europe,,2007,No,,,
811,Ru Petorina Malga Ciapela,Belluno,,Veneto,,,Italy,Torrentizia ,2020,No,,"46.425.713,00",11.911.356
812,Lago di Anterselva,Bolzano,,Trentino Alto Adige,,Italy,Europe,Lacustre,2020,,,,
813,Laghetto di Gares Canale D'agordo,Belluno ,,Veneto,,Italy,Europe,Lacustre,2021,No,Ricca di magnetite,46308045,11882770
814,Spiaggia di Mondello,Palermo ,,Sicilia ,Mar Tirreno,Italy,Europe,Marina ,2021,Si ,,,
815,Sant'Irene Torrevecchia Lido di Specchio di Venere,Vibo Valentia,,Calabria,,Italy,Europe,Marina,2022,Si ,,,
816,Praia de Albufeira ,,,,Oceano Atlantico,Portogallo,Europe,Marina,2022,Si,,,
817,Spiaggia San Teodoro Marsala,Trapani ,Sicilia,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2022,Si,,"37.907140,1212.459349",
818,Crateri Silvestri Etna ,Catania ,Sicilia,Sicilia,,Italy,Europe,Vulcanica,2022,Si,,,
819,Realmonte(spiaggia ad est della scala dei turchi),Agrigento,Sicilia,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2022,Si,,"37.289261, 13.474719",
820,Porto palo di Capo Passero,Siracusa ,Sicilia,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2022,Si,,"36.649.174,00",15079666
821,Spiaggia Torre San Teodoro,Marsala ,Trapani,Sicilia,Mar Mediterraneo,Italy,Europe,Marina ,2022,Si,,,
822,Lungomare Dante Alighieri,,Trapani,Sicilia,Mar Mediterraneo,Italy ,Europe,Marina,2022,,,,
823,"Spiaggia di Cala Rossa, Ortigia",Siracusa ,Sicilia ,Sicilia ,Mar Mediterraneo,Italy ,Europe,Marina,2022, No,Molto bella ,"98.124224,12.727214",
824 *,Valan ,,Isola di Mageroya,,Mar di Barents ,Norvegia,Europe ,Marina,2022,No ,,7.100.984.225.894.410,
825 *,Tropical Beach ,,Helsingborg,,Mare del Nord ,Svezia ,Europe ,Marina,2022,No,,"56.044617,12.686810",
826 *,Lago Sandviken ,,Gallivare,,,Svezia ,Europe,Lacustre,2022,No,,"67.137927,20.629308",
827*,Verses ,,,,Mare del Nord,Danimarca,Europe ,Marina,2022,No,,"55.625.147,81",
828,Campo Felice (Miniera di Bauxite),Lucoli ,Aquila,Abruzzo , ,Italy ,Europe,,2023,No,,42.208356 13.420344,
829,Praia Das Paredes da Vitoria,,Pataias ,,Oceano Atlantico,Portogallo ,Europe,Marina,2023,No ,,"39.703364, 9.050852",
830,Cabo  Da Roca ,Lisbona ,,,Oceano Atlantico,Portogallo ,Europe,Marina,2023,No,,"38.780535,-9.498918",
831,Praia Da Adraga,Sintra,,,Oceano Atlantico ,Portogallo,Europe,,2023,No,,"39.802833,-9.484777",
832,Meia Praia Lagos ,,,,Oceano Atlantico ,Portogallo,Europe ,,2023,No,,"37.117898,-8.644167",
833,Praia Do Beliche , Sagres -Algarve,,,Oceano Atlantico ,Portogallo,Europe ,Marina,2023,No,,"37.025003,-8.964004",
834,Playa De Aguilar-Cudillero Asturie,,,,Oceano Atlantico ,Spagna ,Europe,Marina,2023,Si,,"43.554941,-6.118442",
835,"Tarifa, Cadice ",,,Andalusia  ,,Spagna,Europe ,Marina,2023,No,,36.008571-5.608449,#ERROR!
836,Praia Do Pindo Provincia della Coruna,,,Galizia ,Oceano Atlantico,Spagna ,Europe,Marina,2023,Si ,,"42.891078,-9.136984",
837,Praia Pequena Do Rodizio,,,Sintra,Oceano Atlantico,Portogallo,Europe,Marina,2023,Si,,,
838,Praia de Larino,,Muros ,Galizia ,Oceano Atlantico,Spagna ,Europe,Marina,2023,Si,,"42.759560,-9.113415",
839,Bagni San Filippo Castiglione d'Orcia,Siena ,,Toscana,Mar Tirreno,Italy,Europe,Marina,2023,No,,,
840,Etna ,Catania,,Sicilia,,Italy,Europe,Vulcanica,2023,No,,"37.755492,14.971160",
841,Lago Maggiore,,,Lombardia,,Italy,Europe,Lacustre,2023,No,,,
842,Chilaw Beach  Park,Puttalam,Sri Lanka,,Oceano Indiano,Sri Lanka,Asia,Marina,2023,Si,,"7.576550,79.787426",
843,,,,,,,,,,,,,
844,,,,,,,,,,,,,
845,,,,,,,,,,,,,
846,,,,,,,,,,,,,
847,,,,,,,,,,,,,
848,,,,,,,,,,,,,
849,,,,,,,,,,,,,
850,,,,,,,,,,,,,
851,,,,,,,,,,,,,
852,,,,,,,,,,,,,
853,,,,,,,,,,,,,
854,,,,,,,,,,,,,
855,,,,,,,,,,,,,
856,,,,,,,,,,,,,
857,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,* Lavate e setecciate  ,,,,,,,,,,,,
